year,theme,theme_name,citations,title,authors,venue,doi,url
2020,B,Wave measurement methodology,37,Estimation of sea state parameters by the wave buoy analogy with comparisons to third generation spectral wave models,"Nielsen, Dietz",Ocean Engineering,10.1016/j.oceaneng.2020.107781,https://doi.org/10.1016/j.oceaneng.2020.107781
2020,B,Wave measurement methodology,36,MEMS-based wave buoy: Towards short wind-wave sensing,"Yurovsky, Dulov",Ocean Engineering,10.1016/j.oceaneng.2020.108043,https://doi.org/10.1016/j.oceaneng.2020.108043
2020,B,Wave measurement methodology,30,Machine-Learning Mesoscale and Submesoscale Surface Dynamics from Lagrangian Ocean Drifter Trajectories,"Aksamit, Sapsis, Haller",Journal of Physical Oceanography,10.1175/jpo-d-19-0238.1,https://doi.org/10.1175/jpo-d-19-0238.1
2020,B,Wave measurement methodology,28,Optimisation of heaving buoy wave energy converter using a combined numerical model,"Zhao, Cao, Shi",Applied Ocean Research,10.1016/j.apor.2020.102208,https://doi.org/10.1016/j.apor.2020.102208
2020,D,"Drift, transport & trajectory",20,Diurnal Cycling of Submesoscale Dynamics: Lagrangian Implications in Drifter Observations and Model Simulations of the Northern Gulf of Mexico,"Sun, Bracco, Barkan, Berta, Dauhajre, Molemaker et al.",Journal of Physical Oceanography,10.1175/jpo-d-19-0241.1,https://doi.org/10.1175/jpo-d-19-0241.1
2020,D,"Drift, transport & trajectory",20,Unsteady Ekman‐Stokes Dynamics: Implications for Surface Wave‐Induced Drift of Floating Marine Litter,"Higgins, Vanneste, van den Bremer",Geophysical Research Letters,10.1029/2020gl089189,https://doi.org/10.1029/2020gl089189
2020,A,Platform & sensor hardware,17,Ocean Wave Buoy Based on Parallel Six-Dimensional Accelerometer,"Liu, Wang, You, Chen",IEEE Access,10.1109/access.2020.2971711,https://doi.org/10.1109/access.2020.2971711
2020,E,Validation & intercomparison,14,Evaluation of HF Radar Wave Measurements in Iberian Peninsula by Comparison with Satellite Altimetry and in Situ Wave Buoy Observations,"Bué, Semedo, Catalão",Remote Sensing,10.3390/rs12213623,https://doi.org/10.3390/rs12213623
2020,B,Wave measurement methodology,12,Variations in directional wave parameters obtained from data measured using a GNSS buoy,"Lin, Huang, Chen",Ocean Engineering,10.1016/j.oceaneng.2020.107513,https://doi.org/10.1016/j.oceaneng.2020.107513
2020,B,Wave measurement methodology,4,Directional Surface Wave Spectra from Point Measurements of Height and Slope,"Plant, Donelan",Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-19-0128.1,https://doi.org/10.1175/jtech-d-19-0128.1
2020,B,Wave measurement methodology,3,Dynamics Model of Buoy Unpowered Heave Considering Seawater Density,"Yang, Li, Li, Liang, Zhang, Sun",Journal of Coastal Research,10.2112/si99-060.1,https://doi.org/10.2112/si99-060.1
2020,E,Validation & intercomparison,2,An Experimental Assessment of Extreme Wave Evaluation by Integrating Model and Wave Buoy Data,"Reale, Dentale, Furcolo, Di Leo, Pugliese Carratelli",Water,10.3390/w12041201,https://doi.org/10.3390/w12041201
2019,A,Platform & sensor hardware,84,"Performance Characteristics of “Spotter,” a Newly Developed Real-Time Wave Measurement Buoy","Raghukumar, Chang, Spada, Jones, Janssen, Gans",Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-18-0151.1,https://doi.org/10.1175/jtech-d-18-0151.1
2019,E,Validation & intercomparison,50,Validation of Sentinel-3A/3B Satellite Altimetry Wave Heights with Buoy and Jason-3 Data,"Yang, Zhang",Sensors,10.3390/s19132914,https://doi.org/10.3390/s19132914
2019,B,Wave measurement methodology,25,Real-Time Inverse Estimation of Ocean Wave Spectra from Vessel-Motion Sensors Using Adaptive Kalman Filter,"Kim, Kang, Kim",Applied Sciences,10.3390/app9142797,https://doi.org/10.3390/app9142797
2019,B,Wave measurement methodology,23,Lagrangian Measurement of Steep Directionally Spread Ocean Waves: Second-Order Motion of a Wave-Following Measurement Buoy,"McAllister, van den Bremer",Journal of Physical Oceanography,10.1175/jpo-d-19-0170.1,https://doi.org/10.1175/jpo-d-19-0170.1
2019,B,Wave measurement methodology,20,A mixed Eulerian-Lagrangian simulation of nonlinear wave interaction with a fluid-filled membrane breakwater,"Liu, Huang",Ocean Engineering,10.1016/j.oceaneng.2019.03.008,https://doi.org/10.1016/j.oceaneng.2019.03.008
2019,B,Wave measurement methodology,19,Reading a Wave Buoy,Helmreich,"Science, Technology, &amp; Human Values",10.1177/0162243919856095,https://doi.org/10.1177/0162243919856095
2019,B,Wave measurement methodology,9,A Lagrangian drifter for surveys of water surface roughness in streams,"Noss, Koca, Zinke, Henry, Navaratnam, Aberle et al.",Journal of Hydraulic Research,10.1080/00221686.2019.1623930,https://doi.org/10.1080/00221686.2019.1623930
2019,D,"Drift, transport & trajectory",2,Numerical simulation of the wave-induced Stokes drift effect on sea surface temperature in the North Pacific,"Liu, Shi, Zhang",Oceanological and Hydrobiological Studies,10.2478/ohs-2019-0034,https://doi.org/10.2478/ohs-2019-0034
2019,D,"Drift, transport & trajectory",1,Lagrangian Drifter to Identify Ocean Eddy Characteristics,"Chu, Fan",Climate,10.3390/cli7120137,https://doi.org/10.3390/cli7120137
2019,B,Wave measurement methodology,1,Wave measurements with a modified HydroBall® buoy using different GNSS processing strategies,"Gendron, Chouaer, Santerre, Rondeau, Seube",Geomatica,10.1139/geomat-2018-0021,https://doi.org/10.1139/geomat-2018-0021
2018,B,Wave measurement methodology,52,Measurements of Directional Wave Spectra and Wind Stress from a Wave Glider Autonomous Surface Vehicle,"Thomson, Girton, Jha, Trapani",Journal of Atmospheric and Oceanic Technology,10.1175/jtech-d-17-0091.1,https://doi.org/10.1175/jtech-d-17-0091.1
2018,B,Wave measurement methodology,30,Sensor Buoy System for Monitoring Renewable Marine Energy Resources,"García, Quiles, Correcher, Morant",Sensors,10.3390/s18040945,https://doi.org/10.3390/s18040945
2018,B,Wave measurement methodology,26,Extreme Wave Analysis by Integrating Model and Wave Buoy Data,"Dentale, Furcolo, Pugliese Carratelli, Reale, Contestabile, Tomasicchio",Water,10.3390/w10040373,https://doi.org/10.3390/w10040373
2018,B,Wave measurement methodology,26,Wave interaction with a tethered buoy: SPH simulation and experimental validation,"Gunn, Rudman, Cohen",Ocean Engineering,10.1016/j.oceaneng.2018.03.001,https://doi.org/10.1016/j.oceaneng.2018.03.001
2018,B,Wave measurement methodology,25,Estimation of directional spectra from wave buoys for model validation,Gorman,Procedia IUTAM,10.1016/j.piutam.2018.03.008,https://doi.org/10.1016/j.piutam.2018.03.008
2018,D,"Drift, transport & trajectory",17,Eddy Diffusivity Estimates from Lagrangian Trajectories Simulated with Ocean Models and Surface Drifter Data—A Case Study for the Greater Agulhas System,"Rühs, Zhurbas, Koszalka, Durgadoo, Biastoch",Journal of Physical Oceanography,10.1175/jpo-d-17-0048.1,https://doi.org/10.1175/jpo-d-17-0048.1
2018,A,Platform & sensor hardware,7,Mechanistic Drifting Forecast Model for A Small Semi-Submersible Drifter Under Tide–Wind–Wave Conditions,"Zhang, Huang, Wang, Chen, Zhang",China Ocean Engineering,10.1007/s13344-018-0011-3,https://doi.org/10.1007/s13344-018-0011-3
2018,E,Validation & intercomparison,4,Integration between X-Band Radar and Buoy Sea State Monitoring,"Reale, Ludeno, Raffa",Journal of Coastal Research,10.2112/jcoastres-d-17-00050.1,https://doi.org/10.2112/jcoastres-d-17-00050.1
2018,B,Wave measurement methodology,2,Steepest Ascent Low/Non‐Low‐Frequency Ratio in Empirical Mode Decomposition to Separate Deterministic and Stochastic Velocities From a Single Lagrangian Drifter,Chu,Journal of Geophysical Research: Oceans,10.1002/2017jc013500,https://doi.org/10.1002/2017jc013500
2018,D,"Drift, transport & trajectory",1,Material Transport under a Wave Train in Interaction with Constant Wind: A Eulerian RANS Approach Combined with a Lagrangian Particle Dispersion Model,"Sinha, Golshan",Fluids,10.3390/fluids3020040,https://doi.org/10.3390/fluids3020040
2018,D,"Drift, transport & trajectory",0,IMPACT OF RANDOM WAVE SPECTRA ON STOKES DRIFT IN COASTAL CURRENT MODELING,"Imai, Ninomiya, Mori",Coastal Engineering Proceedings,10.9753/icce.v36.currents.1,https://doi.org/10.9753/icce.v36.currents.1
